"Timestamp","Nombre del codificador","Fecha de captura","1. Nombre del medio","2. Fecha de publicación","3. Autor(a)","4. Lugar de la edición","5. Título de la nota","6. Recursos técnicos","7. Género periodístico","8. Valoración general de la nota","8.1 Transcribe el sustento para la valoración general (positiva o negativa) de la nota. En caso de que sea neutral, escribe N/A. ","9. ¿Hay símbolos políticos presentes en la nota periodística (texto y/o imagen)? ","9.1 ¿Cuáles?","10. ¿Se habla de algún colectivo en la nota?","10.1 ¿Cuál colectivo se menciona en la nota? ","11. ¿La nota tiene alguno de los siguientes elementos? ","Transcribe lo que sustenta la respuesta anterior","12. ¿La nota reporta un conflicto dentro de la marcha? ","12.1 ¿Quién es el actor involucrado en el que se enfoca la pieza? ","13. ¿La nota reporta un conflicto fuera de la marcha? ","13.1 ¿Quién es el actor involucrado en el que se enfoca la pieza? ","14. ¿La nota recupera el contenido de los carteles? ","14.1 Transcribe el contenido de los carteles que recupera la pieza. ","¿La nota recupera el contenido de las pintas? ","Transcribe el contenido de los pintas que recupera la pieza. ","¿La nota recupera el contenido de consignas? ","Transcribe las consignas que recupera la pieza. ","¿Tiene foto de un cartel/ pinta? ","Haz una descripción breve de la fotografía. "
"2025/03/31 5:20:08 PM CST","Raquel Johannsen","2025-03-31","ZonaDocs","2025-03-04","ZonaDocs","Local","¿Cómo podemos cuidarnos durante la marcha #8M?","Fotografía;Infografía;Video","Nota informativa","Neutral","N/A","Sí","Colores","Sí","YoVoy8M;Familias de personas desaparecidas y víctimas de feminicidio","No contiene","","No","","No","","No","","No","","No","","Sí","El punto es que todas hemos sido acosadas, no que todos acosan"
"2025/03/31 5:41:39 PM CST","Raquel Johannsen","2025-03-31","ZonaDocs","2025-03-11","Aletse Torres","Local","“#8M sobre ruedas”: por el derecho a moverse libremente","Fotografía","Entrevista","Positiva","A través de su participación, las ciclistas buscan no solamente visibilizarse, sino también reivindicar su derecho a moverse libremente por las ciudades sin miedo a la violencia de género, un problema que sigue afectando a muchas mujeres en México.","Sí","Colores","No","","No contiene","","No","","No","","No","","No","","No","","Sí","Somos la voz de las que ya no están "
"2025/03/31 5:46:56 PM CST","Raquel Johannsen","2025-03-31","ZonaDocs","2025-03-09","Alondra Angel","Local","“Queremos salir tranquilas a las calles”: Infancias en el 8M en Guadalajara","Fotografía","Entrevista","Positiva","Además de ejercer su derecho a la participación, estas niñas y adolescentes expresaron cuáles son sus sentipensares frente a la violencia generalizada en el país y cómo es que imaginan el futuro. Aquí las voces de quienes están por heredar el futuro de esta lucha.

","Sí","Colores","Sí","YoVoy8M","No contiene","","No","","No","","No","","No","","No","","Sí","""Esto es pelear como niña""
""Mamá hoy voy a gritar lo que a ti te hicieron callar""
""Ser emocional no me hace irracional""
""Que los ojos de las niñas desaparecidas te persigan en tus suelos, y el llanto de sus madres no te dejen dormir""
""Mamá tranquila, hoy no voy sola por la calle""
""Marcho hoy con mis hijas por no marchar mañana por ellas""
""Mi hijo sí sabrá respetar a las mujeres!"
"2025/03/31 5:56:01 PM CST","Raquel Johannsen","2025-03-31","ZonaDocs","2025-03-09","Aletse Torres","Local","“Les queremos de vuelta”: mujeres buscadoras marchan este #8M","Fotografía","Entrevista","Positiva","El 8 de marzo, en el marco del Día Internacional de la Mujer, un grupo de mujeres se unieron en las calles para exigir justicia, visibilidad y, sobre todo, el regreso de sus seres queridos desaparecidos. En una marcha llena de esperanza, rabia y lucha, se escucharon los gritos de quienes siguen buscando a sus hijas, hijos, madres, hermanas y seres amados, ante la indiferencia de las autoridades.","Sí","Colores;Fichas de desaparecidos","No","","Hashtag","#hastaencontrarte #encontremosachristiane #8M2025","No","","No","","No","","No","","Sí","“¿Dónde están lxs desaparecidxs?”, “No estamos todxs, nos faltan lxs desaparecidxs” fueron algunas de las consignas que corearon lxs colectivos de familias buscadoras de Jalisco la tarde del 8 de marzo de 2025.","Sí","8M Mamá esto es por ti, te amo"
"2025/03/31 6:02:56 PM CST","Raquel Johannsen","2025-03-31","ZonaDocs","2025-03-04","Vanessa Briseno","Local","Por la rabia y la esperanza: Guadalajara se prepara para la marcha del 8M","Fotografía;Gráfica","Nota informativa","Neutral","N/A","Sí","Colores","Sí","YoVoy8M;Tapatías discas;Familias de personas desaparecidas y víctimas de feminicidio;La Red de Maestras Feministas, ","Hashtag;No contiene","#RumboAl8M #YoVoy8M","No","","No","","No","","No","","Sí","El lema de la marcha por El Día Internacional de la Mujer este año es “Desde la rabia, lucha y esperanza”, una consigna que surgió de los diálogos dentro de la Red #YoVoy8M y que refleja el sentir de quienes participan. En conversación con ZonaDocs, la Red mencionó que el lema surgió a partir de la discusión sobre la violencia que atraviesan las mujeres y las disidencias, se buscó una frase que reconociera la indignación colectiva sin perder de vista la necesidad de transformar esa emoción en acción. ","No",""
"2025/03/31 6:15:49 PM CST","Raquel Johannsen","2025-03-31","ZonaDocs","2025-03-09","ZonaDocs","Local","Postales de la justa rabia: #8M en Guadalajara","Fotografía","Reportaje o crónica","Positiva","Unas 30 mil manifestantes femeninas se reunieron en la capital de Jalisco, Guadalajara, para marcar el Día Internacional de lucha para los Derechos de la mujeres.  Todas tenían la misma misión : exigir justicia para las mujeres.","Sí","Banderas;Colores;Fichas de desaparecidos","No","","No contiene","","No","","No","","Sí","No nos pidan un 8M en calma cuando todo el año nos la quitan
Juntas somos más fuertes
Quiero vivir, no sobrevivir
Te quiero bonita, te quiero poderosa
Nuestro grito viene de un corazón cansado de vivir con miedo Menos machito, más michitos
Libres y vivas
Yo no salí, estaba en la escuela Fuimos todas
No llegamos todas, nos faltan 100mil
Que la vergüenza cambie de bando
Fuck the patriarchy
Levanta la cabeza mi niña, no fue tu culpa
La urgencia femenina de luchar por mi vida
Hombre bien criado no apoya el patriarcado
Yo tenía 15 años ¿tú qué edad tenías?
Nos pidieron que no andáramos solas en la calle, así que nos unimos
Lo personal también es político
Nacer mujer en este país es una sentencia de muerte
Aborto legal
Yo soy tu abogada de confianza
Que los ojos de las desaparecidas te sigan en tus sueños, y los gritos de sus madres no te dejen dormir
La presidente solo protege a un hombre, nosotras no
Mami hoy voy a gritar por lo que a ti te hicieron callar
Si las mujeres bajaran los brazos, el cielo se caería
Si mi perro entiende un no, tu también puedes
Somos la voz de las que ya no están
1 de 4 niñas sufre violencia sexual, no es un caso aislado, es una epidemia, callar nos hace cómplice
Con este culazo aplasto al patriarcado
Se te pone grande cuando acosas, pero chiquita cuando te delatan","No","","No","","Sí",""
"2025/03/31 6:36:53 PM CST","Raquel Johannsen","2025-03-31","ZonaDocs","2025-03-09","Karen Garcia","Local","“Justicia”: El clamor de las mujeres que tomaron las calles de Guadalajara","Fotografía","Entrevista","Neutral","N/A","Sí","Fotos/ imágenes / nombres de actores políticos;Colores;Fichas de desaparecidos","Sí","Colectivos Unidos de Jalisco","Hashtag","#8M2025","No","","No","","Sí","Asimismo contingentes antiespecistas también se manifestaban, entre ellas una mujer con su perrita mostraban su cartel “Ni siendo de otra especie nos salva de ser violadas”.","No","","Sí","Las madres también salieron a luchar con sus hijes, quienes con consigna como “lxs niñxs no se tocan”, “Nos sembraron miedo, nos crecieron alas” o “No te preocupes, cuando yo sea grande te cuido”, llenaban de esperanza y sentimiento a las marchantes. Quienes respondían con las mismas consignas y mostraban solidaridad y sororidad a las madres y cuidadoras. Las maestras también hicieron presencia, acompañadas de sus alumnas y de sus colegas gritaban: “Las maestras luchando también están enseñando”, entre ellas una maestra, quien con la emoción a flor de piel expresó que marchaba por ella y sus alumnas.

","Sí",""
"2025/03/31 6:40:16 PM CST","Raquel Johannsen","2025-03-31","ZonaDocs","2025-03-10","Aletse Torres","Local","“La vergüenza tiene que cambiar de bando”","Fotografía","Entrevista","Neutral","N/A","Sí","Colores","No","","Hashtag","#8M2025","No","","No","","Sí","Pedófilo Rodolfo López, ex profesor de UNE Tesistán","No","","No","","Sí",""
"2025/04/01 9:19:49 AM CST","Raquel Johannsen","2025-04-01","ZonaDocs","2025-03-09","Dalia Souza","Local","“¡Que caiga con fuerza el feminicida!”: reclaman justicia colectivas en Jalisco para las víctimas de Eduardo “N”","Fotografía","Nota informativa","Neutral","N/A","Sí","Fotos/ imágenes / nombres de actores políticos;Colores;Fichas de desaparecidos","Sí","Feministas en Guadalajara ","Hashtag","#8M2025 #8M #Justicia #JusticiaparaKaren","No","","No","","No","","No","","No","","No",""
"2025/04/01 9:33:13 AM CST","Raquel Johannsen","2025-04-01","ZonaDocs","2025-03-09","Aletse Torres","Local","“De la rabia, nació nuestra esperanza”: así se vivió el #8M2025 en Guadalajara","Fotografía","Reportaje o crónica","Positiva","Con el lema “Desde la rabia, lucha y esperanza”, miles de mujeres, jóvenes y niñas, disidencias, madres, familiares de víctimas de feminicidio y desapariciones, feministas anticapitalistas, mujeres con discapacidad y colectivas diversas tomaron las calles de Guadalajara este 8 de marzo para exigir justicia y visibilizar sus luchas contra la violencia.","Sí","Banderas;Colores;Fichas de desaparecidos","Sí","YoVoy8M;Tapatías discas;Familias de personas desaparecidas y víctimas de feminicidio;Contingente carriola;Batukada;Contingente general de mujeres y disidencias","Hashtag","#8M2025","No","","No","","No","","No","","Sí","‘Justicia por Isis’ corearon decenas de asistentes, junto a la familia de esta joven.
La Batukada feminista que como cada año acompaña el recorrido, marcó el ritmo del andar con su enérgico canto: “¡La calle es nuestra!”
En el contingente Carriola, en su mayoría integrado por madres y sus infancias, la consigna principal, “Las niñxs no se tocan” resonó con fuerza.
“¡No más violencia obstétrica!”, exigieron desde ‘Casa Aramara’.
En la Rambla Cataluña el contingente por Palestina, ondeó la bandera del país y corearon consignas como “Hasta que sean libres todas las mujeres y niñas de Palestina” y “Desde el río hasta el mar, Palestina vencerá”, exigiendo el fin del genocidio.
“Aborto sí, aborto no” y “Saquen sus rosarios de mis ovarios” cantaron las participantes a los grupos antiderechos y religiosos que se encontraban resguardando las paredes de la iglesia de Nuestra Señora del Carmen.
Para finalizar, gritaron al unísono: “¡Nunca más una lucha, ¡sin todas y todes!” y el acto concluyó con un grupo reunido, donde los colores morado y verde se entrelazaron, reflejando la fuerza y unidad de la lucha que continúa, llena de esperanza y rabia.

","Sí","Una mujer portanddo una playera morada ondea una bandera trans.
Cartel lee: ""tumbemos el cis-tema"".
""¿Cómo quieres que nos callemos si nos quitaron a Isis?""
""Matemos al patriarcado""
""Las flores de la resistencia nacen del asfalto""
Mujer con pañuelo verde atado en la muñeca ondea bandera de México en la cual el color rojo ha sido cambiado por morado.
""Nos sembraron miedo, nos crecieron alas""
Grupo de mujeres extienden una bandera de palestina que abarca el ancho de la avenida, a su alrededor otras ondean banderas más pequeñas también de Palestina.
""Mamá si no regreso, no prendas velas, prende barricadas""
""Maestra marchando, también está enseñando""
""El alcohol que a él lo justifica, a mi me hace culpable""
""Que los ojos de tus hijas veas los de aquellas que lastimaste"" "
"2025/04/01 9:40:40 AM CST","Raquel Johannsen","2025-04-01","Milenio Jalisco","2025-03-08","Josefina Ruiz","Local","Esperan hasta 70 mil asistentes en marcha 8M en Guadalajara","Fotografía","Nota informativa","Neutral","N/A","Sí","Colores","Sí","YoVoy8M;Tapatías discas;Familias de personas desaparecidas y víctimas de feminicidio","No contiene","","No","","No","","No","","No","","Sí","“Desde la rabia, lucha y esperanza”","Sí","Foto panorámica que enfoca carteles que leen: ""Si un no regreso, abracen a mi mamá"" ""Nadie debería sentir miedo de ser quien es"""
"2025/04/01 9:46:06 AM CST","Raquel Johannsen","2025-04-01","Milenio Jalisco","2025-03-06","Fátima Briceño","Local","Red Yo Voy 8M se deslinda de la intervención en la Minerva y exige respeto a sus demandas","Fotografía","Nota informativa","Neutral","N/A","Sí","Fotos/ imágenes / nombres de actores políticos","Sí","Frente Feminista de Jalisco;YoVoy8M","Hashtag;Imagen de posteos a X, Instagram, Facebook","Transcripción del post: Desde la Red YoVoy8M aclaramos que NO solicitamos ninguna de las intervenciones en la escultura de la Minerva realizadas el día de hoy, 05 de marzo de 2025, por elementos del Gobierno de Jalisco. Nos deslindamos de los actos de incongruencia que el gobierno del estado ha realizado a partir de esta intervención, así como del caso omiso que han hecho a los comunicados realizados a distintas dependencias estatales y municipales desde el 28 de febrero, en los que se ha solicitado no suspender el servicio de elevadores de las tres líneas del tren ligero, permitir el tránsito de unidades de transporte con rampas para personas con movilidad diversa, así como no enviar elementos policiales a la marcha. La desaparición de miles de personas, las denuncias sin proceder y los actos de violencia estructural son hechos que no han podido solventar y ningún pañuelo violeta sustituye las negligencias y las omisiones de su parte.  Les recordamos que somos una organización autónoma, y pedimos que se respeten y atiendan nuestras solicitudes así como nuestros derechos. Desde la rabia, luchamos y sostenemos la esperanza. Siteur Jalisco Secretaría de Transporte Jalisco Pablo Lemus Navarro Verónica Delgadillo Juan José Frangie Fiscalía del Estado de Jalisco Secretaría de Seguridad Jalisco #8M2025GDL #YoVoy8deMarzo #8M2025","No","","Sí","Actor social","No","","No","","No","","No",""
"2025/04/01 9:51:35 AM CST","Raquel Johannsen","2025-04-01","Milenio Jalisco","2025-03-10","Gloria Reza","Local","Reprueba Arzobispado de Guadalajara vandalismo contra la Catedral","Fotografía","Nota informativa","Negativa","""La catedral de Guadalajara fue rayada durante las marchas del 8M""
""El Arzobispado de Guadalajara reprobó los actos de vandalismo que se cometieron contra la catedral durante la marcha del Día de la Mujer, que se realizó el pasado 8 de marzo""
""El Arzobispado pide poner un alto a este tipo de actos vandálicos, y que se aplique la ley que corresponde ,pues ese tipo de expresiones van más allá de un derecho de manifestación pública.""

","Sí","Fotos/ imágenes / nombres de actores políticos","No","","No contiene","","No","","Sí","Actor religioso","No","","No","
","No","","Sí","Fotografía de la fachada delantera de la catedral, se señalan las pintas realizadas a la misma."
"2025/04/01 10:11:42 AM CST","Raquel Johannsen","2025-04-01","Milenio Jalisco","2025-03-04","Pablo Núñez","Local","Descartan vallas en edificios del Centro de Guadalajara durante 8M","Fotografía","Nota informativa","Neutral","N/A","Sí","Fotos/ imágenes / nombres de actores políticos;Colores","Sí","Frente Feminista de Jalisco;YoVoy8M","No contiene","","No","","No","","No","","No","","No","","Sí","Foto panorámica que enfoca carteles que leen: ""Si un no regreso, abracen a mi mamá"" ""Nadie debería sentir miedo de ser quien es"""
"2025/04/01 1:10:09 PM CST","Raquel Johannsen","2025-04-01","El Informador","2025-03-08","Yahaira Chagollan","Local"," VIVO: Todos los detalles de las marchas del 8M","Fotografía","Nota informativa","Neutral","N/A","Sí","Banderas;Colores;Logos de colectivos","Sí","Frente Feminista de Jalisco;YoVoy8M;Familias de personas desaparecidas y víctimas de feminicidio;Con Ovarios","No contiene","","No","","No","","No","","Sí","La rabia y la exigencia de justicia se plasman en los grafitis, un recordatorio del hartazgo ante la violencia de género y la impunidad que sigue cobrando vidas. ","Sí","[...] convocada por el Frente Feminista de Jalisco, bajo el lema “En las guerras patriarcales ser mujer es resistencia”; se trata de una protesta separatista donde solo se admiten a mujeres de nacimiento.

Esta marcha pacífica, convocada por la comunidad “YoVoy8M”, recorrerá cerca de 5 kilómetros de distancia bajo el lema “Desde la Rabia, Lucha y Esperanza”. ","Sí","Fotografía aérea de Plaza de la Liberación donde se aprecia como las mujeres abren un círculo para la lectura del manifiesto, destaca una bandera de Palestina extendida.
Foto aérea donde se encuadra la Minerva y las mujeres a la espera del inicio de la marcha. Fotografía de la lona del colectivo Red YoVoy8M "
"2025/04/01 1:28:14 PM CST","Raquel Johannsen","2025-04-01","El Informador","2025-03-08","Marck Hernández","Local","Así se vivió el 8M en Guadalajara este 2025","Fotografía","Nota informativa","Positiva","En México, durante el año 2024, hubo un total de 839 feminicidios según el Gobierno Federal y hay más de 28 mil mujeres desaparecidas de acuerdo con el Registro Nacional de Personas Desaparecidas.","Sí","Colores;Logo de partidos;Fichas de desaparecidos","Sí","Familias de personas desaparecidas y víctimas de feminicidio","No contiene","","No","","No","","No","","No","","Sí","Miles de tapatías protestaron como parte de la marcha en conmemoración del 8M Día Internacional de la Mujer. La principal consigna: que frene la violencia contra las mujeres.

En todo el contingente se gritaron distintas consignas: ""todos somos Isis"", ""no somos una, no somos tres, pi@$# gobierno cuéntanos bien"", ""hija escucha, tu madre está en la lucha"", ""mujer escucha, esta es tu lucha"", ""vivas se las llevaron, vivas las queremos"", ""no es desfile, es protesta"", entre otras.","Sí","¿Existo porque resisto, o porque aún no me toca?
Por todas las que nos arrebataron
Grito por lo pasado, marcho por el futuro
Nada es más fuerte que una maestra enseñando a sus alumnas a luchar
¿Te cansas de oírlo? Nosotras de vivirlo
A mi nadie me cortará mis alas
Dos mujeres vestidas con trajes de la novela ""The Handmaid's Tale"" sostienen un cartel que lee: Basta una crisis económica o religiosa para que los derechos de las mujeres vuelvan a ser cuestionados
Mujeres teníamos que ser
Si mañana soy yo, no olvides mi nombre
Un abrazo fuerte que te rompa los miedos
Si los abusos fueran fuego México estaría en llamas
Fotos aéreas de la marcha en diferentes momentos y espacios: la Minerva, Av. Vallarta, frente a la Catedral y en Plaza de la Liberación
"
"2025/04/01 1:29:55 PM CST","Raquel Johannsen","2025-04-01","El Informador","2025-03-06","Alexia Desiree Lepe Lucas","Local","Marcha 8M en Guadalajara: Este será el clima durante las manifestaciones","No contiene","Nota informativa","Neutral","N/A","No","","No","","No contiene","","No","","No","","No","","No","","No","","No",""
"2025/04/01 1:32:47 PM CST","Raquel Johannsen","2025-04-01","El Informador","2025-03-09","El Informador","Local","Libres y vivas, el clamor de las mujeres","Fotografía","Nota informativa","Neutral","N/A","No","","No","","No contiene","","No","","No","","No","","No","","Sí","Corearon y gritaron múltiples consignas: “Hija, escucha: tu madre está en la lucha”. “Vivas se las llevaron, vivas las queremos”. “No es desfile, es protesta”.
Otras gritaron para recordar a las víctimas de feminicidios o que hoy están desaparecidas, pero el objetivo fue unísono: que ya no haya miedo, que estén libres y sobre todo, vivas.","No",""
"2025/04/01 1:35:01 PM CST","Raquel Johannsen","2025-04-01","El Informador","2025-03-02","Rubí Bobadilla","Local","oma nota: Estas son las marchas que habrá en Guadalajara por el 8M","Fotografía;Gráfica","Nota informativa","Neutral","N/A","No","","Sí","Frente Feminista de Jalisco;YoVoy8M","No contiene","","No","","No","","No","","No","","No","","No",""
